month_end,y_3,forecasted_rent_3,CI_low_3,CI_high_3
2017-01-31,1370.0,0.0,-3394.757202228515,3394.757202228515
2017-02-28,1366.0,1794.0518178714124,-1350.984801242631,4939.088436985456
2017-03-31,1366.0,1516.6514047241885,-1599.2876719978512,4632.590481446228
2017-04-30,1366.0,1421.3479093019243,-1690.7156284004775,4533.411447004326
2017-05-31,1375.0,1386.3849786347935,-1725.153780436078,4497.923737705665
2017-06-30,1388.0,1387.5517984439268,-1723.915743853356,4499.01934074121
2017-07-31,1397.0,1399.9064094383452,-1711.5514652547763,4511.364284131467
2017-08-31,1398.0,1406.4280910272873,-1705.0284712449693,4517.884653299544
2017-09-30,1389.0,1402.0339100818742,-1709.4224740223449,4513.490294186093
2017-10-31,1377.0,1385.4451180600365,-1726.0112418569158,4496.901477976989
2017-11-30,1365.0,1368.9686359954567,-1742.4877206379442,4480.424992628858
2017-12-31,1356.0,1355.3192763285983,-1756.1370798590433,4466.77563251624
2018-01-31,1352.0,1924.2226363772622,-896.1661324689583,4744.6114052234825
2018-02-28,1352.0,835.5660195975837,-1638.9533184379388,3310.0853576331065
2018-03-31,1360.0,1368.6853186662559,211.14070907278756,2526.229928259724
2018-04-30,1369.0,1374.0188703938147,263.9495496504046,2484.088191137225
2018-05-31,1382.0,1387.6976956356339,304.51591029232236,2470.879480978945
2018-06-30,1399.0,1401.2266596801428,335.220999747311,2467.2323196129746
2018-07-31,1421.0,1416.4258289546462,362.2723528330696,2470.579305076223
2018-08-31,1437.0,1438.3123136954673,392.84160797334175,2483.783019417593
2018-09-30,1436.0,1450.5004975893833,411.84006318091883,2489.160931997848
2018-10-31,1428.0,1450.5176626140458,418.00977762559523,2483.0255476024963
2018-11-30,1416.0,1458.4646529849558,434.31252437570015,2482.6167815942117
2018-12-31,1409.0,1498.1419962413274,499.40399128527497,2496.88000119738
2019-01-31,1406.0,1894.5542008844468,804.7185068204469,2984.3898949484465
2019-02-28,1409.0,1376.8499885940537,1128.871062011107,1624.8289151770005
2019-03-31,1418.0,1416.3160482143917,1403.1881301111064,1429.443966317677
2019-04-30,1429.0,1427.4476129369998,1415.9237990804847,1438.9714267935149
2019-05-31,1442.0,1448.393412038989,1437.392527675632,1459.394296402346
2019-06-30,1459.0,1454.3988565948573,1443.6287593509576,1465.168953838757
2019-07-31,1476.0,1476.6664368978975,1466.009690709029,1487.323183086766
2019-08-31,1486.0,1484.470582389399,1473.8737582020249,1495.067406576773
2019-09-30,1484.0,1485.411345855631,1474.8462102298774,1495.9764814813846
2019-10-31,1472.0,1476.8345929622444,1466.2872745672782,1487.3819113572106
2019-11-30,1460.0,1455.7365110937294,1445.198630418711,1466.2743917687478
2019-12-31,1455.0,1454.531073745502,1443.9987864297889,1465.0633610612151
2020-01-31,1455.0,1454.9000662478334,1444.3706426088113,1465.4294898868554
2020-02-29,1460.0,1459.3734391050873,1448.8860905422946,1469.86078766788
2020-03-31,1465.0,1472.5328823918974,1462.0774808752299,1482.9882839085649
2020-04-30,1458.0,1465.4909159336462,1455.0529753111157,1475.9288565561767
2020-05-31,1441.0,1451.0251944062034,1440.5968488371811,1461.4535399752256
2020-06-30,1425.0,1422.6483359158717,1412.2253170315296,1433.0713548002138
2020-07-31,1424.0,1416.8301874807473,1406.4101054467133,1427.2502695147814
2020-08-31,1424.0,1423.591226330812,1413.172791342021,1434.0096613196033
2020-09-30,1417.0,1409.3135467888478,1398.8960140170034,1419.7310795606923
2020-10-31,1404.0,1409.453041605181,1399.0360228628213,1419.8700603475406
2020-11-30,1392.0,1383.8636828099252,1373.4469406573235,1394.280424962527
2020-12-31,1388.0,1390.9044086036672,1380.4878293404142,1401.3209878669202
2021-01-31,1393.0,1385.7609806524013,1375.3444859622548,1396.1774753425477
2021-02-28,1415.0,1408.587871762127,1398.1722165838496,1419.0035269404043
2021-03-31,1448.0,1446.4075561408793,1435.9926107017586,1456.8225015799999
2021-04-30,1493.0,1481.8180138159044,1471.4034634326213,1492.2325641991874
2021-05-31,1547.0,1545.8071653092832,1535.3928342255617,1556.2214963930046
2021-06-30,1601.0,1602.785005876912,1592.3707972051031,1613.1992145487209
