month_end,y_0,forecasted_rent_0,CI_low_0,CI_high_0
2017-01-31,1309.0,0.0,-3394.757202228515,3394.757202228515
2017-02-28,1306.0,1711.4194154799968,-1428.8550446224097,4851.693875582403
2017-03-31,1306.0,1448.886312840697,-1662.0167094568942,4559.789335138288
2017-04-30,1306.0,1358.3080104498306,-1748.7114107802443,4465.327431679905
2017-05-31,1315.0,1325.1968859181354,-1781.3004005636874,4431.694172399958
2017-06-30,1326.0,1327.0439620737586,-1779.3829693778678,4433.470893525385
2017-07-31,1336.0,1336.5283044535383,-1769.889144177627,4442.945753084704
2017-08-31,1336.0,1345.4167134047352,-1760.9994570305976,4451.8328838400685
2017-09-30,1328.0,1339.4572484811295,-1766.9587496643805,4445.873246626639
2017-10-31,1317.0,1324.8282085397004,-1781.587766382604,4431.244183462005
2017-11-30,1305.0,1309.7290185062375,-1796.6869532857763,4416.144990298251
2017-12-31,1297.0,1295.668907740842,-1810.7470636292344,4402.084879110918
2018-01-31,1292.0,1997.760580085667,-791.8811162442428,4787.402276415577
2018-02-28,1292.0,759.995678870962,-1552.2919905031,3072.2833482450237
2018-03-31,1301.0,1302.039301513006,824.0909846715942,1779.9876183544177
2018-04-30,1309.0,1311.8505031425675,856.6669707000947,1767.0340355850403
2018-05-31,1321.0,1326.2090753515174,883.3310274191426,1769.0871232838922
2018-06-30,1338.0,1337.2659860675583,902.0060833877385,1772.525888747378
2018-07-31,1359.0,1354.9341173191465,924.7946085152494,1785.0736261230436
2018-08-31,1374.0,1369.8859367551975,943.3861691506845,1796.3857043597104
2018-09-30,1373.0,1380.6706309649016,956.8853211390449,1804.4559407907584
2018-10-31,1365.0,1376.8361750269362,955.2690510743839,1798.4032989794885
2018-11-30,1354.0,1375.0786041830079,956.2190750723352,1793.9381332936805
2018-12-31,1347.0,1392.2900595649971,982.5553566882984,1802.0247624416959
2019-01-31,1344.0,1490.0097751870833,1099.0365999387932,1880.9829504353734
2019-02-28,1347.0,1334.4911055668074,1232.172962533574,1436.8092486000407
2019-03-31,1355.0,1356.802694831261,1342.3988358742617,1371.2065537882604
2019-04-30,1366.0,1361.290466955116,1348.7019242239126,1373.8790096863195
2019-05-31,1378.0,1385.2076571175865,1373.2146704583315,1397.2006437768414
2019-06-30,1395.0,1388.832931949811,1377.1411513449582,1400.5247125546637
2019-07-31,1411.0,1418.6856040598395,1407.1333716985387,1430.2378364211404
2019-08-31,1421.0,1413.9141352211188,1402.4619091600055,1425.3663612822322
2019-09-30,1419.0,1423.0509807309516,1411.641772851437,1434.460188610466
2019-10-31,1407.0,1408.017330422412,1396.6522597980286,1419.3824010467954
2019-11-30,1396.0,1392.0342913047095,1380.6847234617812,1403.3838591476378
2019-12-31,1391.0,1391.9634094839967,1380.6392951090381,1403.2875238589552
2020-01-31,1391.0,1388.5393232073689,1377.22453851063,1399.8541079041077
2020-02-29,1396.0,1401.3174772980665,1390.7441714912675,1411.8907831048655
2020-03-31,1400.0,1404.3273797393015,1394.0940018461558,1414.5607576324471
2020-04-30,1394.0,1400.9429998526425,1390.8851626300848,1411.0008370752003
2020-05-31,1377.0,1388.1380122523383,1378.1721917936623,1398.1038327110143
2020-06-30,1363.0,1358.1964204934072,1348.2889929971266,1368.103847989688
2020-07-31,1362.0,1357.35233839517,1347.475144498626,1367.229532291714
2020-08-31,1362.0,1359.4149976430517,1349.561033743806,1369.2689615422973
2020-09-30,1355.0,1350.8827824935802,1341.0393882986223,1360.726176688538
2020-10-31,1342.0,1344.6939028276447,1334.8614799041295,1354.52632575116
2020-11-30,1331.0,1325.12406390388,1315.295844211346,1334.9522835964137
2020-12-31,1327.0,1328.8433418563814,1319.0216807730665,1338.6650029396963
2021-01-31,1332.0,1325.20755179212,1315.388665398085,1335.026438186155
2021-02-28,1352.0,1349.5492262988662,1340.0226079287531,1359.0758446689792
2021-03-31,1384.0,1378.8902074875339,1369.4703551038174,1388.3100598712504
2021-04-30,1428.0,1418.8558071884474,1409.4984533127654,1428.2131610641295
2021-05-31,1479.0,1479.4745067734507,1470.1520741973236,1488.7969393495778
2021-06-30,1530.0,1531.206871415808,1521.9075846335163,1540.5061581981
