month_end,y_1,forecasted_rent_1,CI_low_1,CI_high_1
2017-01-31,1024.0,0.0,-3394.757202228515,3394.757202228515
2017-02-28,1021.0,1353.1089901067323,-1819.2420358934676,4525.460016106932
2017-03-31,1022.0,1140.3355590318195,-2004.6750028499625,4285.346120913601
2017-04-30,1021.0,1067.2764585294285,-2073.9474959000454,4208.500412958902
2017-05-31,1028.0,1037.406432011021,-2103.2849082608286,4178.09777228287
2017-06-30,1038.0,1038.2813597868947,-2102.3349025460748,4178.897622119864
2017-07-31,1045.0,1047.7475187743032,-2092.858157265031,4188.353194813638
2017-08-31,1045.0,1052.781037255747,-2087.823146009339,4193.385220520833
2017-09-30,1039.0,1047.9218912854005,-2092.6820814821785,4188.525864052979
2017-10-31,1030.0,1036.5651798474069,-2104.038763237694,4177.169122932508
2017-11-30,1020.0,1023.7876412864482,-2116.8162976130952,4164.391580185991
2017-12-31,1014.0,1011.780448999684,-2128.8234893096487,4152.384387309017
2018-01-31,1011.0,1440.8772193993982,-1410.4292110212823,4292.183649820079
2018-02-28,1011.0,609.8197753107154,-927.7067733977747,2147.3463240192054
2018-03-31,1017.0,960.0389813096479,-156.5403245818311,2076.618287201127
2018-04-30,1024.0,977.1963732507538,-110.91850654059954,2065.311253042107
2018-05-31,1033.0,999.157332856034,-70.61836857948231,2068.9330342915505
2018-06-30,1046.0,1013.9977060822088,-42.95532697436772,2070.950739138785
2018-07-31,1063.0,1030.69552490883,-16.699279087612922,2078.090328905273
2018-08-31,1075.0,1050.0383116892153,10.28649168360721,2089.7901316948237
2018-09-30,1074.0,1061.7386953525784,28.886734099151226,2094.5906566060057
2018-10-31,1068.0,1057.9131580182159,33.234814601007656,2082.591501435424
2018-11-30,1059.0,1052.474816770856,44.40629237638336,2060.5433411653285
2018-12-31,1054.0,1049.7212964765033,108.67939426555017,1990.7631986874565
2019-01-31,1051.0,1254.7386149762974,432.69751874069414,2076.7797112119006
2019-02-28,1054.0,1013.963567805998,682.1815997587212,1345.7455358532748
2019-03-31,1060.0,1061.1828932214748,1051.72192933059,1070.6438571123597
2019-04-30,1068.0,1063.921159159888,1055.2730555289572,1072.5692627908188
2019-05-31,1078.0,1084.6155234779444,1076.1367196782446,1093.0943272776442
2019-06-30,1091.0,1087.7464443721565,1079.3096816679188,1096.1832070763942
2019-07-31,1104.0,1103.8494008693522,1095.423506167785,1112.2752955709193
2019-08-31,1111.0,1110.2924624152115,1101.869405993271,1118.715518837152
2019-09-30,1110.0,1110.9125063791432,1102.490193168381,1119.3348195899055
2019-10-31,1100.0,1105.0215141213557,1096.5993956575671,1113.4436325851443
2019-11-30,1092.0,1086.1197072620753,1077.6976398378126,1094.541774686338
2019-12-31,1088.0,1090.9453452137539,1082.523291166218,1099.3673992612896
2020-01-31,1088.0,1085.2445429009126,1076.8224923593539,1093.6665934424714
2020-02-29,1092.0,1092.850672841229,1084.428623218725,1101.2727224637329
2020-03-31,1096.0,1100.8934033683413,1092.4713539868553,1109.3154527498273
2020-04-30,1091.0,1098.7489013909287,1090.326852072655,1107.1709507092025
2020-05-31,1078.0,1084.4692024167232,1076.0471531149685,1092.8912517184779
2020-06-30,1066.0,1066.3000062366318,1057.8779569392282,1074.7220555340355
2020-07-31,1065.0,1058.0118256319329,1049.5897763356854,1066.4338749281803
2020-08-31,1065.0,1063.0136578455927,1054.591608549641,1071.4357071415443
2020-09-30,1060.0,1054.326407695118,1045.9043583992443,1062.7484569909916
2020-10-31,1050.0,1052.3179603795772,1043.8959110837036,1060.740009675451
2020-11-30,1041.0,1036.8428223110377,1028.420773015164,1045.2648716069114
2020-12-31,1038.0,1038.1348264575631,1029.7127771616895,1046.5568757534368
2021-01-31,1042.0,1037.2308441086784,1028.8087948128048,1045.652893404552
2021-02-28,1058.0,1053.8455471990005,1045.4234979031269,1062.2675964948742
2021-03-31,1083.0,1078.1204143057723,1069.6983650098987,1086.542463601646
2021-04-30,1117.0,1109.7973193014284,1101.3752700055547,1118.219368597302
2021-05-31,1157.0,1153.8465392834787,1145.424489987605,1162.2685885793524
2021-06-30,1197.0,1200.0247551265747,1191.602705830701,1208.4468044224484
