month_end,y_2,forecasted_rent_2,CI_low_2,CI_high_2
2017-01-31,1155.0,0.0,-3394.757202228515,3394.757202228515
2017-02-28,1152.0,1512.99150174559,-1633.0012345192563,4658.9842380104365
2017-03-31,1153.0,1279.4924069000876,-1837.4473002117024,4396.432114011877
2017-04-30,1152.0,1200.4359950720848,-1912.6283346742923,4313.500324818462
2017-05-31,1160.0,1168.9224752236448,-1943.6163296031361,4281.461280050426
2017-06-30,1171.0,1170.7285012183959,-1941.7388811765697,4283.195883613362
2017-07-31,1179.0,1181.1282224217557,-1931.3294502569252,4293.585895100437
2017-08-31,1179.0,1187.2235010035822,-1925.2328516074206,4299.679853614585
2017-09-30,1172.0,1182.032165603804,-1930.4240075386847,4294.488338746292
2017-10-31,1162.0,1169.190119635664,-1943.266029107339,4281.646268378667
2017-11-30,1151.0,1155.352657471527,-1957.103487954265,4267.808802897319
2017-12-31,1144.0,1142.3765815041588,-1970.079563470645,4254.832726478962
2018-01-31,1140.0,1671.1381485454162,-1123.5584222472849,4465.834719338118
2018-02-28,1141.0,688.0337182581648,-1714.5559740812896,3090.623410597619
2018-03-31,1148.0,1154.7451108771997,228.6289254233052,2080.8612963310943
2018-04-30,1155.0,1157.7629669735923,272.0685539825229,2043.4573799646616
2018-05-31,1166.0,1171.0552487037376,307.88994518371226,2034.2205522237628
2018-06-30,1181.0,1181.9973364451682,333.0903609412196,2030.9043119491168
2018-07-31,1199.0,1195.8522947488907,356.7179084257309,2034.9866810720505
2018-08-31,1212.0,1211.3913314101658,379.363072094637,2043.4195907256944
2018-09-30,1211.0,1222.109640226066,395.57856117690164,2048.6407192752304
2018-10-31,1204.0,1220.5735988602992,398.86837655623935,2042.278821164359
2018-11-30,1195.0,1224.7271063168237,409.41780456181107,2040.0364080718364
2018-12-31,1189.0,1256.7367280562678,461.74512194773126,2051.7283341648044
2019-01-31,1186.0,1485.3898238789454,655.1351022530891,2315.6445455048015
2019-02-28,1189.0,1167.0998972742698,966.6541033633814,1367.5456911851581
2019-03-31,1196.0,1196.4007877588178,1185.0110854086086,1207.7904901090271
2019-04-30,1205.0,1201.262356633032,1190.805127584904,1211.7195856811597
2019-05-31,1216.0,1222.508550919586,1212.2335988725463,1232.7835029666257
2019-06-30,1231.0,1227.0379870991578,1216.806135844163,1237.2698383541526
2019-07-31,1246.0,1246.8514001867263,1236.629597228,1257.0732031454527
2019-08-31,1254.0,1253.376636839995,1243.1577088088434,1263.5955648711465
2019-09-30,1252.0,1252.6223532847735,1242.4041714936936,1262.8405350758533
2019-10-31,1242.0,1245.4411973224373,1235.2235207932454,1255.6588738516293
2019-11-30,1232.0,1229.0271792740787,1218.809849324369,1239.2445092237883
2019-12-31,1227.0,1227.090694580393,1216.873766267087,1237.3076228936989
2020-01-31,1227.0,1224.8253639940795,1214.60886708109,1235.041860907069
2020-02-29,1232.0,1233.681783725134,1223.600921079002,1243.7626463712659
2020-03-31,1236.0,1241.4381399475706,1231.700404817714,1251.1758750774272
2020-04-30,1230.0,1237.0926899054057,1227.431275171792,1246.7541046390193
2020-05-31,1216.0,1226.367149288426,1216.7237722282878,1236.010526348564
2020-06-30,1202.0,1202.3899472110197,1192.7510169595148,1212.0288774625246
2020-07-31,1202.0,1191.4331244045813,1181.7952429616585,1201.0710058475042
2020-08-31,1202.0,1202.629682585035,1192.9921041508924,1212.2672610191776
2020-09-30,1196.0,1189.9777677035001,1180.3402705567396,1199.6152648502607
2020-10-31,1184.0,1187.8421343834616,1178.204693885155,1197.4795748817683
2020-11-30,1175.0,1168.6557300251093,1159.0183301836576,1178.293129866561
2020-12-31,1171.0,1172.3397084641442,1162.702355352605,1181.9770615756834
2021-01-31,1175.0,1169.2115897730737,1159.5742872954552,1178.8488922506922
2021-02-28,1194.0,1187.3596081831897,1177.7401193301669,1196.9790970362126
2021-03-31,1222.0,1219.733823422715,1210.1573696617302,1229.3102771836998
2021-04-30,1260.0,1251.019450846247,1241.453339116553,1260.5855625759411
2021-05-31,1305.0,1303.7125053166076,1294.1488818942382,1313.276128738977
2021-06-30,1350.0,1352.2973327759512,1342.7343254727687,1361.8603400791337
