month_end,y_5,forecasted_rent_5,CI_low_5,CI_high_5
2017-01-31,1935.0,0.0,-3394.757202228515,3394.757202228515
2017-02-28,1930.0,2549.352810684576,-613.9589141563974,5712.66453552555
2017-03-31,1931.0,2151.6956477778313,-983.6806540293151,5287.071949584977
2017-04-30,1930.0,2014.0912373461017,-1117.4642635453422,5145.646738237546
2017-05-31,1943.0,1960.4211032852204,-1170.603483984703,5091.445690555143
2017-06-30,1961.0,1961.884146172939,-1169.0665078151474,5092.834800161025
2017-07-31,1975.0,1978.4747230368812,-1152.4656321238735,5109.415078197636
2017-08-31,1975.0,1989.6316830921396,-1141.307237392366,5120.570603576645
2017-09-30,1963.0,1980.4610829306055,-1150.477637695414,5111.399803556625
2017-10-31,1946.0,1958.0873002391752,-1172.8513925454079,5089.025993023758
2017-11-30,1928.0,1934.3191815884124,-1196.6195073176982,5065.257870494523
2017-12-31,1917.0,1913.2138220162576,-1217.7248663495595,5044.152510382075
2018-01-31,1910.0,2821.297738432448,9.844642982698588,5632.750833882197
2018-02-28,1910.0,1127.5176463127827,-1272.364498616475,3527.3997912420405
2018-03-31,1922.0,1930.6359595071146,1061.2202536738873,2800.051665340342
2018-04-30,1935.0,1939.0513397240043,1107.7553425042533,2770.347336943755
2018-05-31,1953.0,1962.33678136375,1152.4506443821583,2772.222918345342
2018-06-30,1977.0,1979.9503425417963,1183.728296542286,2776.1723885413066
2018-07-31,2008.0,2002.5195715377722,1215.7541103531266,2789.285032722418
2018-08-31,2031.0,2029.3653893455785,1249.5510485316095,2809.1797301595475
2018-09-30,2029.0,2048.6773597353413,1274.299236562299,2823.0554829083835
2018-10-31,2018.0,2044.718358257521,1275.1447268507832,2814.291989664259
2018-11-30,2002.0,2052.2193058992266,1288.9374362360236,2815.5011755624296
2018-12-31,1991.0,2100.789899821036,1356.8080220902164,2844.771777551856
2019-01-31,1986.0,2435.4361973593714,1664.3900019532648,3206.482392765478
2019-02-28,1991.0,1941.800335292664,1710.296224782828,2173.3044458024997
2019-03-31,2004.0,2004.1254319051734,1984.823503134876,2023.4273606754707
2019-04-30,2019.0,2015.745620454317,1998.7656924587823,2032.7255484498519
2019-05-31,2037.0,2045.9833192556446,2029.7449186308256,2062.2217198804633
2019-06-30,2061.0,2054.191570274528,2038.2742417043394,2070.1088988447173
2019-07-31,2086.0,2089.896373853406,2074.1303488819112,2105.662398824901
2019-08-31,2100.0,2096.350838776027,2080.663526833159,2112.0381507188954
2019-09-30,2098.0,2099.3084247835964,2083.6600354628326,2114.95681410436
2019-10-31,2080.0,2088.192317154928,2072.5660372505736,2103.818597059282
2019-11-30,2063.0,2053.6309327298623,2038.0151289819987,2069.246736477726
2019-12-31,2056.0,2059.023823967738,2043.4147369697325,2074.632910965743
2020-01-31,2056.0,2051.3554263370283,2035.7491894894554,2066.961663184601
2020-02-29,2064.0,2067.748724122184,2052.204585892884,2083.2928623514836
2020-03-31,2070.0,2079.443914088249,2063.9478807988608,2094.9399473776375
2020-04-30,2061.0,2070.3934426023934,2054.922625638729,2085.8642595660576
2020-05-31,2036.0,2051.4747544769934,2036.017165602066,2066.9323433519207
2020-06-30,2014.0,2007.666862787213,1992.2163469648667,2023.1173786095592
2020-07-31,2013.0,2003.3288855576957,1987.88206582886,2018.7757052865313
2020-08-31,2013.0,2011.1630595280312,1995.7182582182102,2026.6078608378523
2020-09-30,2003.0,1993.5942320661916,1978.1504614302482,2009.038002702135
2020-10-31,1984.0,1989.8165510701438,1974.3733681418096,2005.259733998478
2020-11-30,1968.0,1957.8630970279671,1942.4201983030316,1973.3059957529026
2020-12-31,1961.0,1965.7853082423803,1950.342587882839,1981.2280286019216
2021-01-31,1968.0,1956.433535158632,1940.9908924194774,1971.8761778977864
2021-02-28,1999.0,1992.2443223498183,1976.8029449972664,2007.6856997023701
2021-03-31,2046.0,2039.617959822437,2024.1776221804728,2055.0582974644008
2021-04-30,2110.0,2093.643124782461,2078.2033416297218,2109.0829079352006
2021-05-31,2186.0,2181.998928007012,2166.559438416269,2197.4384175977552
2021-06-30,2262.0,2266.9145012517174,2251.475169361402,2282.3538331420327
