month_end,y_4,forecasted_rent_4,CI_low_4,CI_high_4
2017-01-31,1648.0,0.0,-3394.757202228515,3394.757202228515
2017-02-28,1643.0,2162.42822126181,-988.5849800833189,5313.441422606938
2017-03-31,1644.0,1826.510290695677,-1295.751872958617,4948.772454349971
2017-04-30,1643.0,1712.2846662844106,-1406.1135341924057,4830.682866761227
2017-05-31,1655.0,1667.69370584018,-1450.1766675532072,4785.564079233567
2017-06-30,1670.0,1670.9348252192233,-1446.863286330278,4788.732936768724
2017-07-31,1682.0,1684.392835931039,-1433.3953796682772,4802.181051530355
2017-08-31,1682.0,1694.123027117013,-1423.6638332182738,4811.9098874523
2017-09-30,1672.0,1686.4863757690505,-1431.3002989599072,4804.273050498008
2017-10-31,1657.0,1667.9963908253144,-1449.7902584844373,4785.783040135066
2017-11-30,1642.0,1647.0225542557137,-1470.7640915728198,4764.809200084247
2017-12-31,1632.0,1629.8118127508803,-1487.9748326008923,4747.598458102653
2018-01-31,1627.0,2472.923914176316,-321.4157209212367,5267.263549273868
2018-02-28,1627.0,953.9363566584072,-1386.468785027823,3294.3414983446373
2018-03-31,1637.0,1643.1333340604504,1022.6619030243166,2263.604765096584
2018-04-30,1648.0,1649.7724405708736,1058.0985508581484,2241.446330283599
2018-05-31,1663.0,1671.6822848185468,1095.8132614299789,2247.5513082071147
2018-06-30,1684.0,1684.7062387963836,1118.7495325171876,2250.6629450755795
2018-07-31,1710.0,1705.028311785938,1145.821550639178,2264.235072932698
2018-08-31,1729.0,1725.4530294852095,1171.1170840833556,2279.7889748870634
2018-09-30,1728.0,1740.1000560740463,1189.4720050275178,2290.728107120575
2018-10-31,1718.0,1735.5685562402327,1188.0702195497602,2283.0668929307053
2018-11-30,1704.0,1737.7259510975996,1194.1561252308666,2281.2957769643326
2018-12-31,1695.0,1766.371383976651,1235.5117669546844,2297.2310009986177
2019-01-31,1692.0,1941.3832410869938,1419.4824648456272,2463.2840173283603
2019-02-28,1696.0,1671.3092300797673,1524.3287499392507,1818.289710220284
2019-03-31,1706.0,1708.012994692,1691.0528147569605,1724.9731746270393
2019-04-30,1719.0,1714.5627628271584,1699.3092975189206,1729.8162281353962
2019-05-31,1735.0,1741.8255351361145,1726.991947253504,1756.659123018725
2019-06-30,1756.0,1751.633872810316,1736.9450889893717,1766.3226566312603
2019-07-31,1777.0,1780.8906891817887,1766.2445697156616,1795.536808647916
2019-08-31,1789.0,1786.4654792626861,1771.8416849725518,1801.0892735528205
2019-09-30,1786.0,1786.7221465714752,1772.1047158775766,1801.3395772653737
2019-10-31,1771.0,1775.1617815220436,1760.5520355429162,1789.771527501171
2019-11-30,1757.0,1751.4472902471873,1736.841775652871,1766.0528048415035
2019-12-31,1751.0,1751.1988211115142,1736.5995022964596,1765.7981399265689
2020-01-31,1751.0,1750.1036176494254,1735.5103531763357,1764.696882122515
2020-02-29,1757.0,1758.9044458290828,1744.919326870929,1772.8895647872366
2020-03-31,1763.0,1770.507861783289,1757.4482570907142,1783.5674664758637
2020-04-30,1755.0,1765.4481118986553,1752.65106795615,1778.2451558411606
2020-05-31,1734.0,1747.9025921194077,1735.1879459478844,1760.617238290931
2020-06-30,1715.0,1712.410038814176,1699.7261252890746,1725.0939523392774
2020-07-31,1714.0,1702.9088788982672,1690.234349059921,1715.5834087366134
2020-08-31,1714.0,1712.793581564596,1700.1241607249215,1725.4630024042706
2020-09-30,1706.0,1698.1112205417157,1685.4434491598063,1710.7789919236252
2020-10-31,1689.0,1694.5931990316242,1681.9274181981393,1707.258979865109
2020-11-30,1676.0,1666.2371899566167,1653.572676826925,1678.9017030863083
2020-12-31,1670.0,1673.822467402497,1661.1596792002035,1686.4852556047906
2021-01-31,1676.0,1667.25817264426,1654.5971534114533,1679.9191918770666
2021-02-28,1703.0,1694.1908159748652,1681.7644801907536,1706.617151758977
2021-03-31,1743.0,1741.6155016167918,1729.512284583707,1753.7187186498766
2021-04-30,1797.0,1784.8386118599226,1772.8394079181046,1796.8378158017406
2021-05-31,1861.0,1861.9320092495618,1849.9667096459782,1873.8973088531454
2021-06-30,1926.0,1927.0355240366546,1915.0830682343314,1938.9879798389777
