name,min_AIC,MSE
"Birmingham-Hoover, AL4br",187.2320106,35979.41657
"Bismarck, ND_Overall",211.7478208,20179.68662
"Bismarck, ND_Studio",194.793856,14149.89215
"Bismarck, ND1br",203.4458753,14705.41657
"Bismarck, ND2br",213.2553991,21040.61141
"Bismarck, ND3br",229.870109,38497.31963
"Bismarck, ND4br",10,9.94E+60
"Boise City, ID_Overall",217.4595054,18442.59628
"Boise City, ID_Studio",200.8371717,10052.87838
"Boise City, ID1br",87.33686054,3.82E+27
"Boise City, ID2br",214.8713419,15940.96453
"Boise City, ID3br",227.6047798,25863.55362
"Boise City, ID4br",236.12374,35464.6365
"Boston-Cambridge-Newton, MA-NH_Overall",231.9765534,82417.07559
"Boston-Cambridge-Newton, MA-NH_Studio",216.4437387,45720.78932
"Boston-Cambridge-Newton, MA-NH1br",212.7329849,55490.38142
"Boston-Cambridge-Newton, MA-NH2br",228.0375318,90328.18329
"Boston-Cambridge-Newton, MA-NH3br",233.9029006,111162.8168
"Boston-Cambridge-Newton, MA-NH4br",246.380977,137860.9974
"Boulder, CO_Overall",239.6129107,62379.4273
"Boulder, CO_Studio",224.8196874,35842.58205
"Boulder, CO1br",228.4211577,42577.09305
"Boulder, CO2br",239.9293953,62992.0715
"Boulder, CO3br",246.0912942,100698.7501
"Boulder, CO4br",258.1821002,153812.4907
"Bremerton-Silverdale-Port Orchard, WA_Overall",241.1169824,52530.05632
"Bremerton-Silverdale-Port Orchard, WA_Studio",215.283721,24270.39811
"Bremerton-Silverdale-Port Orchard, WA1br",10,1.30E+66
"Bremerton-Silverdale-Port Orchard, WA2br",239.2690515,47838.30622
"Bremerton-Silverdale-Port Orchard, WA3br",251.5354201,76606.4625
"Bremerton-Silverdale-Port Orchard, WA4br",10,8.98E+51
"Bridgeport-Stamford-Norwalk, CT_Overall",221.3257644,58952.44569
"Bridgeport-Stamford-Norwalk, CT_Studio",197.5108209,24477.45093
"Bridgeport-Stamford-Norwalk, CT1br",213.1276,41587.124
"Bridgeport-Stamford-Norwalk, CT2br",222.4424687,63677.94808
"Bridgeport-Stamford-Norwalk, CT3br",233.2501332,89001.60919
"Bridgeport-Stamford-Norwalk, CT4br",242.1989318,123845.7867
"Cape Coral-Fort Myers, FL_Overall",214.6019783,34929.9034
"Cape Coral-Fort Myers, FL_Studio",211.8740688,27044.30974
"Cape Coral-Fort Myers, FL1br",204.9255446,20906.43184
"Cape Coral-Fort Myers, FL2br",216.6385916,31435.54457
"Cape Coral-Fort Myers, FL3br",220.3799553,41861.46951
"Cape Coral-Fort Myers, FL4br",228.0700628,56809.64643
"Cedar Rapids, IA_Overall",212.1047411,13954.77903
"Cedar Rapids, IA_Studio",186.1324084,5479.942141
"Cedar Rapids, IA1br",197.4117186,8041.985206
"Cedar Rapids, IA2br",215.5952331,15422.54922
"Cedar Rapids, IA3br",231.2060669,26603.36128
"Cedar Rapids, IA4br",230.6887298,26700.30227
"Charleston-North Charleston, SC_Overall",198.5957315,47159.37829
"Charleston-North Charleston, SC_Studio",193.1992683,38987.74082
"Charleston-North Charleston, SC1br",191.2717542,35320.02322
"Charleston-North Charleston, SC2br",192.2724937,43019.31313
"Charleston-North Charleston, SC3br",204.7998293,57553.18963
"Charleston-North Charleston, SC4br",211.1146718,100173.6132
"Charlotte-Concord-Gastonia, NC-SC_Overall",180.4305801,33383.6978
"Charlotte-Concord-Gastonia, NC-SC_Studio",163.0322246,24338.05383
"Charlotte-Concord-Gastonia, NC-SC1br",185.8594796,23330.31874
"Charlotte-Concord-Gastonia, NC-SC2br",174.3515959,27471.05012
"Charlotte-Concord-Gastonia, NC-SC3br",181.3511493,38880.85119
"Charlotte-Concord-Gastonia, NC-SC4br",200.0086534,71032.10997
"Charlottesville, VA_Overall",224.8552095,39812.66522
"Charlottesville, VA_Studio",211.8630227,25284.14878
"Charlottesville, VA1br",214.808295,27119.01546
"Charlottesville, VA2br",227.9569365,39469.00067
"Charlottesville, VA3br",229.165743,47645.22675
"Charlottesville, VA4br",248.713667,79937.73514
"Chattanooga, TN-GA_Overall",193.3879951,18465.47531
"Chattanooga, TN-GA_Studio",189.8809132,15112.37668
"Chattanooga, TN-GA1br",180.259221,11555.1112
"Chattanooga, TN-GA2br",192.8938924,17337.33866
"Chattanooga, TN-GA3br",201.8610903,26029.82795
"Chattanooga, TN-GA4br",215.3224185,37623.58663
"Chicago-Naperville-Elgin, IL-IN-WI_Overall",196.6736732,38000.34602
"Chicago-Naperville-Elgin, IL-IN-WI_Studio",182.8407033,24716.55533
"Chicago-Naperville-Elgin, IL-IN-WI1br",189.38895,27936.87775
"Chicago-Naperville-Elgin, IL-IN-WI2br",195.5855425,38945.74414
"Chicago-Naperville-Elgin, IL-IN-WI3br",205.3698003,53612.5306
"Chicago-Naperville-Elgin, IL-IN-WI4br",214.4285972,77773.29232
"Chico, CA_Overall",216.8448895,29395.241
"Chico, CA_Studio",197.8615584,12329.73232
"Chico, CA1br",200.072806,15131.87642
"Chico, CA2br",216.7342078,28145.45943
"Chico, CA3br",235.5747458,45742.86139
"Chico, CA4br",246.4690422,68095.94277
"Cincinnati, OH-KY-IN_Overall",150.540876,15830.01853
"Cincinnati, OH-KY-IN_Studio",131.7722077,9158.652328
"Cincinnati, OH-KY-IN1br",128.9021911,11128.27356
"Cincinnati, OH-KY-IN2br",158.4371854,17837.77962
"Cincinnati, OH-KY-IN3br",168.6810821,26602.86366
